id_producto,id_comprador,id_vendedor,pais,tiene_reclamo,anio,mes,precio_local
18,44,11,Jersey,1,2018,10,328
27,25,18,Georgia,0,2018,1,876
22,10,12,Marshall Islands,1,2018,3,667
9,47,4,Viet Nam,0,2018,11,424
29,35,8,Bouvet Island,1,2018,10,634
26,44,15,Seychelles,0,2019,11,420
12,44,17,Nepal,0,2019,6,393
24,1,11,Ireland,0,2019,10,407
29,6,18,Tunisia,0,2020,1,666
13,10,18,Mongolia,1,2020,2,885
13,5,17,Cape Verde,0,2020,5,864
22,28,3,Spain,0,2018,8,513
5,50,10,Mexico,1,2018,4,663
30,7,9,French Southern Territories,0,2018,12,883
27,20,10,Kazakhstan,0,2019,12,199
23,37,17,Monaco,1,2018,7,174
13,18,3,Estonia,0,2020,1,562
18,46,17,Gabon,0,2018,6,110
2,50,16,Kuwait,0,2018,5,100
14,17,16,Egypt,0,2019,1,723
29,1,16,Trinidad and Tobago,0,2018,1,203
22,26,4,Hong Kong,1,2020,5,289
16,28,12,French Polynesia,0,2020,12,218
25,17,2,Bouvet Island,1,2019,7,557
13,13,2,Saint Kitts and Nevis,1,2018,10,945
17,22,12,Niue,0,2018,4,150
6,24,3,New Zealand,1,2018,4,714
12,46,9,American Samoa,0,2018,11,480
4,20,11,Wallis and Futuna,1,2018,6,355
6,4,16,Dominican Republic,0,2018,9,501
4,41,18,Namibia,0,2020,11,387
3,42,3,Saint Vincent and the Grenadines,0,2018,9,364
26,6,12,Austria,0,2018,2,325
10,13,12,Slovakia,0,2018,2,502
30,7,15,Namibia,0,2018,8,921
23,46,6,Mauritania,1,2019,10,983
12,8,11,"Macedonia, The Former Yugoslav Republic of",0,2018,9,176
25,18,6,Netherlands Antilles,0,2019,5,516
15,9,15,Estonia,1,2020,12,253
2,50,5,Argentina,0,2020,2,486
17,25,15,Qatar,1,2018,11,418
24,45,7,Uganda,1,2019,6,989
18,1,4,Angola,0,2019,2,873
26,49,15,"Iran, Islamic Republic Of",1,2018,5,258
4,13,19,Belize,1,2020,5,144
11,44,10,Ecuador,1,2020,8,628
25,20,3,"Tanzania, United Republic of",1,2019,2,216
1,42,20,Sierra Leone,0,2020,1,122
2,28,10,Western Sahara,1,2018,11,289
20,3,14,United Kingdom,0,2019,8,748
8,40,16,Myanmar,1,2019,7,398
5,2,15,Guyana,1,2020,5,861
9,1,10,Seychelles,0,2020,8,959
6,18,12,Venezuela,0,2019,9,479
2,23,7,Singapore,1,2020,9,961
7,37,10,Ukraine,1,2018,5,358
30,23,15,Guyana,0,2019,4,645
12,17,13,Solomon Islands,1,2019,12,731
1,49,6,Jersey,0,2018,7,949
10,29,17,Hungary,1,2020,7,792
29,47,15,Peru,1,2018,1,394
2,25,16,Croatia,0,2018,7,973
17,11,7,Cuba,1,2020,12,458
13,16,8,Holy See (Vatican City State),1,2019,10,679
11,20,5,Gibraltar,1,2019,11,797
21,48,10,Costa Rica,0,2020,11,298
4,21,13,Liechtenstein,1,2019,9,581
1,50,7,Aruba,1,2018,3,756
29,29,18,Saint Pierre and Miquelon,1,2018,6,463
14,13,13,Afghanistan,1,2019,11,264
8,33,3,Benin,1,2018,12,729
1,18,1,United States Minor Outlying Islands,1,2018,10,447
24,31,18,Azerbaijan,0,2020,2,913
4,12,8,"Taiwan, Province of China",1,2020,5,223
5,35,13,Saint Vincent and the Grenadines,1,2019,3,925
21,15,2,Gibraltar,0,2018,5,253
8,26,13,Comoros,0,2019,2,297
18,6,3,"Moldova, Republic of",1,2019,6,156
9,26,5,Western Sahara,1,2018,10,845
27,8,17,Swaziland,1,2020,12,341
24,27,4,Norfolk Island,0,2018,9,577
2,6,8,Heard Island and Mcdonald Islands,1,2019,5,244
18,36,16,Niger,0,2020,8,639
23,32,7,"Moldova, Republic of",0,2019,12,565
2,17,19,Panama,1,2018,4,908
24,48,6,"Iran, Islamic Republic Of",0,2020,9,540
12,30,16,Belgium,0,2020,8,625
23,26,4,Niger,1,2018,7,195
21,15,11,Chile,1,2020,5,585
14,40,13,Guadeloupe,1,2018,10,315
6,26,13,Sierra Leone,0,2019,1,771
12,22,20,Libyan Arab Jamahiriya,1,2018,12,467
8,15,11,Tuvalu,0,2019,5,680
5,35,7,Bolivia,1,2019,4,294
21,11,13,"Virgin Islands, U.S.",0,2020,5,324
27,15,17,Qatar,1,2018,7,367
14,7,14,Cuba,0,2018,7,226
29,11,18,Haiti,0,2019,2,848
26,27,7,Senegal,1,2018,10,781
26,4,18,Northern Mariana Islands,0,2019,11,188
21,20,11,Uruguay,0,2019,9,813
25,21,11,Guam,1,2020,9,879
26,41,10,Uzbekistan,1,2018,11,533
11,1,18,South Georgia and the South Sandwich Islands,0,2019,9,928
15,6,12,Liechtenstein,1,2019,11,486
15,30,18,Benin,0,2018,10,319
7,17,20,Israel,1,2019,6,625
16,38,7,Bolivia,1,2020,3,619
14,18,14,"Cote D""Ivoire",0,2019,5,401
4,49,10,Oman,1,2018,5,861
18,7,18,Serbia and Montenegro,1,2019,12,257
21,21,20,Haiti,0,2019,4,610
28,24,2,Ethiopia,0,2020,7,506
14,11,12,France,0,2018,2,733
4,22,20,Guadeloupe,1,2019,4,933
29,28,16,British Indian Ocean Territory,1,2020,4,905
26,49,17,Portugal,1,2020,11,871
15,35,16,Bangladesh,1,2019,11,178
25,47,19,Åland Islands,1,2018,1,426
18,9,13,"Cote D""Ivoire",0,2019,10,463
25,44,20,"Cote D""Ivoire",1,2020,9,659
23,27,17,Iceland,0,2019,9,214
2,6,15,Serbia and Montenegro,1,2019,12,766
8,50,13,Ethiopia,0,2020,11,245
22,15,11,"Congo, The Democratic Republic of the",0,2018,8,691
22,4,9,Cameroon,0,2019,9,407
8,17,5,Isle of Man,1,2019,3,785
1,39,6,Israel,0,2020,9,294
10,21,16,Netherlands Antilles,1,2018,12,646
10,25,9,Nicaragua,1,2020,2,206
19,11,17,Guadeloupe,0,2018,11,599
13,25,6,Uganda,1,2020,5,897
10,34,16,Bermuda,1,2018,5,634
21,9,2,Solomon Islands,0,2019,8,629
17,38,1,Nauru,1,2018,1,378
12,23,5,Reunion,0,2020,11,442
24,45,6,Grenada,0,2020,7,621
29,30,4,"Congo, The Democratic Republic of the",0,2020,9,981
18,22,5,Trinidad and Tobago,1,2019,5,385
22,37,7,Syrian Arab Republic,0,2018,7,846
14,3,1,Belarus,1,2019,12,742
29,19,13,Dominican Republic,0,2018,8,240
3,16,12,Christmas Island,0,2020,1,525
3,21,15,United States Minor Outlying Islands,0,2020,7,199
18,2,9,Morocco,1,2020,3,781
17,38,5,Colombia,1,2019,6,765
8,32,19,Timor-Leste,0,2018,6,900
18,27,10,Timor-Leste,1,2020,4,680
12,49,19,Georgia,1,2018,5,421
20,8,4,Thailand,0,2020,9,635
4,25,11,"Korea, Republic of",1,2019,8,674
10,20,8,Ethiopia,1,2018,11,557
9,45,20,Yemen,0,2018,7,348
10,35,20,Montserrat,1,2018,11,480
22,43,1,Sweden,1,2019,4,362
27,9,20,Mauritania,0,2019,9,765
25,48,8,"Taiwan, Province of China",1,2019,12,941
11,33,13,Syrian Arab Republic,1,2019,5,570
3,1,17,South Africa,1,2020,1,216
7,46,14,Spain,1,2018,6,912
27,6,7,Panama,0,2019,8,937
8,38,11,Sierra Leone,1,2020,5,110
9,13,11,Latvia,1,2020,9,951
25,7,17,Heard Island and Mcdonald Islands,1,2018,7,872
24,26,16,Lebanon,0,2019,3,721
23,3,17,Bolivia,0,2018,11,700
18,3,15,Cyprus,0,2019,10,649
18,9,9,Brunei Darussalam,0,2019,6,770
30,11,12,Afghanistan,1,2020,8,319
5,31,15,Vanuatu,1,2018,5,979
18,36,15,Madagascar,0,2019,3,317
23,47,7,"Cote D""Ivoire",1,2020,12,269
19,42,14,Saudi Arabia,0,2018,12,780
29,3,19,Mauritania,0,2019,2,170
20,43,11,Kazakhstan,1,2018,6,886
22,7,5,Trinidad and Tobago,1,2018,3,634
1,2,11,Suriname,1,2018,2,380
30,45,7,Christmas Island,0,2019,2,237
21,33,3,Senegal,1,2019,4,239
16,5,7,Philippines,0,2018,10,463
22,39,3,Antarctica,1,2020,11,498
4,21,14,Russian Federation,0,2020,4,475
9,28,7,French Guiana,0,2018,3,571
10,49,5,Guyana,0,2019,6,925
28,28,11,Albania,0,2018,6,407
12,3,3,Mayotte,0,2020,1,469
28,44,16,Croatia,1,2020,2,544
3,5,16,Syrian Arab Republic,0,2018,3,610
11,45,20,Sao Tome and Principe,0,2018,3,755
30,13,8,Chad,0,2020,10,729
1,35,7,Timor-Leste,1,2019,3,100
9,14,11,Ethiopia,1,2018,11,591
20,19,16,"Iran, Islamic Republic Of",1,2020,6,183
13,17,12,New Zealand,0,2019,1,287
7,33,20,Heard Island and Mcdonald Islands,1,2019,5,414
16,47,12,Brunei Darussalam,1,2019,10,201
13,47,9,Azerbaijan,1,2020,6,775
13,49,15,Australia,1,2020,6,137
25,48,16,Wallis and Futuna,1,2018,10,821
17,37,11,Luxembourg,1,2018,11,195
22,24,6,Netherlands,1,2018,2,376
8,29,13,Bolivia,1,2020,10,426
7,26,4,Morocco,1,2018,3,166
5,19,5,Saint Lucia,1,2020,3,106
27,27,13,Israel,1,2020,6,604
9,27,5,"Taiwan, Province of China",1,2018,4,403
7,40,14,Armenia,1,2020,8,957
14,30,10,Russian Federation,1,2018,3,406
20,45,10,Uzbekistan,0,2018,9,430
12,41,7,Slovenia,1,2020,2,409
27,20,18,Azerbaijan,0,2019,12,854
28,33,3,Vanuatu,0,2018,7,358
27,32,20,Senegal,0,2018,2,928
9,7,1,Marshall Islands,0,2020,3,180
12,40,1,Brazil,0,2018,5,460
9,17,20,Australia,1,2018,2,322
2,50,4,Christmas Island,0,2019,9,740
14,11,4,Uganda,1,2018,11,938
12,34,17,Hong Kong,1,2018,5,530
24,12,15,Poland,0,2018,8,909
10,4,3,New Caledonia,0,2019,8,208
12,31,2,Pakistan,1,2018,1,336
27,39,16,"Tanzania, United Republic of",1,2018,3,397
23,47,15,United States,1,2018,5,640
14,22,14,Djibouti,0,2019,5,698
15,43,9,Argentina,1,2018,11,198
24,4,14,"Virgin Islands, British",1,2020,6,842
7,33,20,Libyan Arab Jamahiriya,1,2019,9,228
22,22,14,Guyana,0,2018,1,905
4,10,9,Nauru,1,2020,6,757
15,2,3,San Marino,0,2018,10,102
19,36,18,Western Sahara,1,2018,3,521
9,47,12,San Marino,1,2020,2,159
1,24,12,Ukraine,1,2018,5,751
20,4,12,Cayman Islands,1,2019,2,843
16,1,3,United States,0,2019,7,453
20,16,10,New Caledonia,0,2018,5,950
29,30,7,Mali,1,2019,1,569
7,49,16,Fiji,0,2019,7,154
5,18,11,Belgium,1,2018,12,983
7,47,8,Germany,1,2018,1,119
25,38,10,Malta,0,2018,8,175
12,29,20,"Congo, The Democratic Republic of the",0,2020,6,196
1,15,16,Brunei Darussalam,0,2020,6,174
13,7,14,Venezuela,0,2020,6,991
13,38,11,Morocco,0,2018,3,737
11,23,15,Macao,1,2018,10,464
8,1,3,Kazakhstan,0,2018,5,677
26,22,20,Cuba,1,2019,9,395
17,28,7,Iraq,1,2020,7,687
18,1,13,Uzbekistan,0,2019,5,294
3,33,6,Holy See (Vatican City State),0,2020,9,610
1,40,8,Libyan Arab Jamahiriya,0,2020,6,795
4,18,14,Fiji,1,2019,12,188
4,29,8,British Indian Ocean Territory,1,2018,9,345
23,23,20,Bosnia and Herzegovina,0,2019,11,624
5,15,10,American Samoa,0,2019,1,221
29,23,14,Holy See (Vatican City State),0,2018,7,911
14,43,14,Armenia,0,2018,2,898
23,43,20,Niger,1,2018,5,951
26,32,3,Mauritius,0,2018,9,363
2,50,9,Christmas Island,0,2020,1,850
11,8,10,Liechtenstein,0,2019,11,659
6,40,15,Reunion,0,2018,3,726
28,45,1,Slovakia,0,2018,11,597
16,37,14,"Micronesia, Federated States of",0,2020,5,353
6,17,15,Trinidad and Tobago,0,2019,3,701
16,21,18,Eritrea,1,2020,10,619
17,32,3,Panama,1,2020,11,665
20,29,12,Armenia,0,2018,8,466
7,39,14,"Iran, Islamic Republic Of",0,2018,6,672
19,29,14,Djibouti,1,2019,1,881
9,16,15,Honduras,1,2020,5,534
6,16,19,Grenada,1,2019,10,802
7,34,9,"Virgin Islands, British",1,2018,5,284
20,18,7,Morocco,0,2020,6,931
22,22,19,Djibouti,1,2020,6,386
28,20,20,Luxembourg,0,2020,4,635
17,26,19,Tuvalu,1,2020,1,292
27,1,5,Antigua and Barbuda,1,2019,5,463
20,14,19,Swaziland,1,2018,5,432
20,50,2,Mali,0,2019,6,553
19,29,12,Svalbard and Jan Mayen,0,2020,11,843
2,8,19,Slovakia,1,2019,10,511
30,23,8,Tokelau,1,2018,5,935
7,22,20,AndorrA,1,2019,1,445
24,15,7,Paraguay,1,2018,8,711
13,19,11,Cape Verde,0,2019,11,937
24,1,4,Ethiopia,1,2019,8,443
10,22,6,Liberia,0,2018,6,495
29,30,16,Niger,1,2018,4,142
27,9,9,Nigeria,0,2019,4,474
28,10,5,Qatar,1,2020,11,105
2,15,2,Liberia,1,2019,4,472
15,31,4,Poland,1,2018,10,322
5,2,6,Trinidad and Tobago,0,2020,1,810
17,2,14,Senegal,0,2018,6,743
16,44,5,Northern Mariana Islands,0,2018,4,207
8,24,2,"Virgin Islands, British",0,2019,5,458
4,23,2,Guadeloupe,0,2020,2,171
11,46,9,Papua New Guinea,1,2019,3,772
12,29,7,Heard Island and Mcdonald Islands,0,2020,12,951
14,48,1,Indonesia,0,2020,6,684
16,3,19,Brazil,1,2018,1,469
20,27,14,British Indian Ocean Territory,1,2019,5,759
5,31,7,Mexico,0,2020,11,313
30,21,17,Cuba,0,2018,3,602
7,16,16,Mali,1,2018,1,171
26,45,19,Kuwait,1,2018,3,192
10,28,11,Oman,0,2019,6,102
28,39,2,Ghana,1,2018,11,999
27,34,14,Namibia,1,2019,4,880
6,30,16,Saint Lucia,1,2018,6,317
15,35,17,Brazil,1,2018,5,955
27,3,2,Western Sahara,0,2018,5,896
5,26,14,Heard Island and Mcdonald Islands,0,2020,6,293
24,29,8,Mali,1,2020,5,985
29,45,19,Costa Rica,0,2019,9,327
21,46,17,Jamaica,1,2019,6,829
14,48,20,Bangladesh,1,2019,3,413
24,32,4,South Georgia and the South Sandwich Islands,0,2018,12,521
19,38,10,Svalbard and Jan Mayen,1,2019,3,549
5,32,14,Comoros,1,2019,1,758
10,38,2,Slovakia,1,2020,3,349
8,9,14,Serbia and Montenegro,0,2019,7,921
15,18,18,Philippines,0,2020,7,983
21,32,2,Serbia and Montenegro,0,2019,10,510
13,21,15,Turkey,1,2018,4,858
29,37,18,Samoa,0,2020,8,284
26,10,20,Kyrgyzstan,0,2018,12,698
4,41,16,Saint Vincent and the Grenadines,0,2020,7,702
7,17,10,Luxembourg,1,2018,7,738
26,27,11,Azerbaijan,0,2020,7,516
1,42,16,Netherlands Antilles,0,2018,8,317
22,25,18,Botswana,1,2020,8,747
23,27,15,Saint Lucia,0,2018,7,871
7,20,6,Libyan Arab Jamahiriya,1,2018,9,813
9,27,5,Suriname,1,2020,10,742
22,12,4,Timor-Leste,0,2019,9,797
11,23,7,Belarus,1,2020,4,577
11,4,18,Sweden,1,2019,6,132
25,21,11,Cook Islands,1,2019,5,801
10,12,12,Israel,0,2018,5,611
2,19,15,Kuwait,1,2018,7,774
13,17,9,Anguilla,1,2020,12,469
23,6,13,Haiti,1,2019,2,571
22,32,1,Netherlands,0,2019,10,369
30,44,2,Poland,1,2018,7,530
25,29,6,Ethiopia,0,2018,1,664
18,50,4,Germany,1,2018,5,905
24,9,8,Argentina,0,2020,3,709
16,36,16,Nigeria,0,2018,7,292
8,27,3,Croatia,1,2019,1,742
15,14,9,Bulgaria,1,2019,7,158
19,40,8,Peru,1,2018,1,943
18,29,16,El Salvador,0,2018,1,931
26,21,7,China,1,2020,4,937
30,18,11,Japan,1,2019,6,243
20,5,19,Niue,1,2019,2,469
12,16,12,Bosnia and Herzegovina,0,2018,7,421
12,3,3,Heard Island and Mcdonald Islands,1,2019,3,447
19,12,11,Bahrain,1,2019,12,968
5,10,12,RWANDA,0,2019,11,232
25,49,2,Guernsey,0,2018,1,932
5,43,1,Uzbekistan,0,2020,9,959
8,45,4,Eritrea,0,2019,12,861
20,27,18,United States Minor Outlying Islands,1,2019,3,685
5,13,6,Hungary,1,2019,2,873
19,49,14,Mali,0,2019,11,127
10,42,14,Malta,0,2020,1,319
3,4,17,AndorrA,0,2019,5,812
21,18,15,Belize,0,2020,10,187
11,43,9,Sweden,1,2018,3,680
5,31,8,Norfolk Island,1,2018,9,528
12,21,18,Bhutan,0,2018,2,514
15,3,4,Syrian Arab Republic,0,2019,2,456
10,2,10,Panama,0,2018,12,151
26,17,5,Bouvet Island,0,2020,6,381
2,5,8,Madagascar,0,2020,10,792
27,41,11,Kyrgyzstan,1,2018,2,882
20,34,2,Indonesia,1,2020,1,499
3,12,18,"Tanzania, United Republic of",1,2018,9,795
12,2,15,"Virgin Islands, U.S.",1,2019,1,989
9,28,9,Fiji,0,2020,1,618
14,40,11,Sweden,0,2020,6,599
8,10,11,Finland,0,2020,7,868
