fecha,id_caso,descripcion,estado_caso,categoria,latitud,longitud
2008-06-27,135,oduqcxywlvbelrpp,1,6,69,68
2000-03-13,136,mjnrwgdymhaxfyg,3,2,75,82
2014-09-05,137,qyslhappzkhvhwe,1,5,84,49
2005-03-08,138,apmmedlovfbvvtxpukz,2,3,19,15
2011-01-21,139,itdvronsevcgflzswo,3,8,11,22
2018-08-01,140,smzcmxopdwzobygj,1,1,92,56
2016-04-06,141,jxslgofgrfowdriua,2,9,46,46
2004-04-27,142,duwurwdijjgwczpyr,3,6,4,37
2002-10-28,143,hbndnqfmxdvqucmfp,2,3,19,14
2013-01-27,144,rlbnkslzubuwvkawi,1,9,80,65
2003-09-24,145,ixmizqjwyqgtbyahm,1,5,79,8
2019-04-11,146,cjstscodgaiwmzojr,3,8,42,35
2004-12-29,147,eaegdshiglimsxi,1,7,77,49
2005-07-23,148,yyfivwhwitlaopbwfx,2,2,2,7
2007-10-20,149,nxwxtgewurskukujkve,1,10,36,2
2004-08-31,150,vrertnzsqtjkasb,1,10,75,59
2008-10-30,151,gtvlkhucyscpfnty,1,5,96,58
2009-01-07,152,zpffrqnaiknizvy,2,9,42,6
2000-02-08,153,kpbofinahdlnduxd,2,4,67,15
2008-06-23,154,ftgncgqjynyddglpcdo,1,5,10,54
2016-02-27,155,ytkeekwtrdchsrcwd,3,10,85,48
2013-05-19,156,kdudzeujsthqlpm,2,8,53,35
2008-09-01,157,zjdgjojdjytloppp,3,7,52,59
2009-06-04,158,ywoarbixfrlfuqceb,3,3,7,56
2010-04-19,159,ukoecblqpzgkzkliho,3,1,29,96
2008-06-14,160,gdumqppkxhiqdaxdb,2,2,38,39
2004-02-08,161,befwzwwvwjdhaabbx,2,2,90,41
2000-10-21,162,sismannvfhsbymvjslfl,2,9,75,36
2010-05-19,163,qaqcecamxunkovtrzqe,3,3,39,20
2003-11-27,164,ptijmrpiihzgawgxqn,1,3,88,80
2012-03-02,165,motpqwmazkipaieqyi,1,10,24,71
2002-06-30,166,izqqhhkfacriixv,1,2,4,30
2009-03-08,167,luftapgqhwjwrvgp,3,7,87,89
2004-01-23,168,ehujbeihrsiyyhuzlyj,1,2,13,27
2006-03-19,169,evxrdylpuvbfhpr,1,9,94,47
2000-03-04,170,kkvzaxgbxwlptruqsqzv,1,4,55,37
2012-03-26,171,cbodidhlqdxmbpzk,2,6,16,22
2009-04-30,172,ecxtyguadkagxowefzv,2,10,42,10
2010-05-17,173,vwgefammnneloxtm,1,7,80,79
2015-02-22,174,fofcxvsqaeiebzvahnn,2,5,80,70
2017-04-20,175,kmzqmwawkjpnwex,1,4,18,77
2003-11-08,176,pkpfajjohpfdlgdciru,3,2,30,30
2016-06-10,177,mzosrklegimtekdwckp,1,10,80,65
2002-11-08,178,nueadpbcjvstrheyzgq,3,3,84,9
2017-06-08,179,ipuujnhvvhaqaocm,3,7,64,34
2009-07-14,180,udxzuywrhlobqwkgsvuy,2,9,37,58
2005-06-23,181,acblhxrnkghagcme,3,9,76,58
2009-01-10,182,bhdcyfsklgbmqlltpi,3,5,25,16
2018-03-01,183,ifxugthihoqsubbsoyvt,1,1,70,4
2009-04-15,184,mpludghlfclwbwhjos,3,1,4,29
2010-02-16,185,ubjbgxwphgsklunmes,1,3,48,49
2003-04-06,186,rykugzyvilcsutzzarxr,2,10,44,4
2016-06-24,187,hvhvixdscrofdoqglm,3,1,72,70
2010-07-01,188,gnjlzcqkadwlhwfwta,2,4,67,15
2003-08-19,189,salzbyxgbyptnweo,3,7,75,20
2017-08-12,190,gjibvzddykxngyne,1,2,43,71
2002-12-27,191,fqgrpzskxipijoboxl,3,5,96,80
2018-12-24,192,uwxfophdnjmtycw,1,8,11,27
2004-08-18,193,ippklbzkgqwcfur,2,9,62,89
2016-12-23,194,rbrpmhobyllxdnsbr,2,5,94,22
2004-03-08,195,zscsqfewejcpzvey,1,10,45,87
2009-04-02,196,fnvnihvfufxfwrwha,1,1,35,82
2012-02-27,197,wmcrdtlgevmdztujd,2,5,22,12
2010-03-20,198,vujrscctsfiuabfatxsp,1,3,3,44
2008-01-06,199,tymtiyhjhopeakm,1,4,69,32
2019-09-19,200,hqfxysocbiyuurj,1,9,4,86
2019-08-20,201,huvzmdyqyqsbsur,3,5,54,15
2015-02-07,202,gmxpbycofbfzehxadsbo,2,7,44,49
2015-01-09,203,zhymswlywmqzrng,2,6,97,10
2002-06-23,204,goknhudvpfvkauntbe,3,3,29,42
2014-04-08,205,uiatnzkbshnbjhd,1,4,35,72
2002-10-10,206,kqlilmjyojzgehphfue,3,10,29,40
2001-04-04,207,iuadlgqinsouska,1,3,96,13
2009-08-16,208,fkphuekmluopjmxjlw,2,9,34,97
2009-04-14,209,uxlxyjwnpbanhpklspxe,2,10,40,63
2013-08-12,210,rxbmmvmogmpaxwqkghx,2,6,62,19
2001-09-21,211,mkfnxciblxuvdduauu,3,10,68,35
2006-11-09,212,gzzcrakutavrltpi,1,1,38,74
2016-11-02,213,zxphvzbdevkajzly,1,10,87,54
2013-08-24,214,jzoijyguvoopwydgpec,3,6,58,60
2003-10-31,215,bkovfcqztolmekhwtd,1,10,94,17
2012-10-16,216,neymollxiiedsrtbodq,1,2,71,51
2001-11-05,217,hgbkkadfcjvsyvz,2,2,42,51
2005-05-12,218,vevfijlorbsmexbsjsy,3,9,76,99
2000-05-25,219,dwyacneluvjvaogtum,1,5,67,54
2001-06-30,220,nhzhwhfrixvbayjhazxh,2,5,73,41
2007-11-11,221,dgwltrcmcoscvpzruh,3,2,74,99
2007-04-29,222,qmgyvzeqtosofigqnru,3,5,38,23
2017-06-11,223,rgulciiyqleesqsb,1,5,26,97
2019-01-10,224,mnrlnrpcfwkgnow,1,6,28,60
2006-03-20,225,ouuiyuznvkbtbtfhik,1,1,14,41
2013-12-30,226,cuboqrzegspbesbt,3,5,21,88
2004-09-09,227,vrxozazmvzzaqlgb,3,9,68,87
2018-09-16,228,kkzfozwujtexpqkrchvn,2,7,26,36
2016-10-03,229,cmncfpjbeomqntm,2,4,93,48
2019-08-07,230,momabfelfbmpvkbmf,3,9,81,99
2003-12-07,231,ueidoobuhzmlvajif,1,4,46,1
2011-05-13,232,wcmroktujnmmzll,3,8,99,1
2005-07-01,233,llwuomzpxczmtihqz,2,3,20,98
2017-10-17,234,nsmyqixgooqbcka,3,2,45,40
2001-09-26,235,qywrpxuaegkzhnlpk,3,8,84,100
2018-01-31,236,fhjddpumlmkiwtsjlhef,2,4,34,51
2001-06-14,237,jnitfojqgltlavwqyb,3,7,34,61
2018-07-01,238,ujzhoyasutuhkignp,2,9,95,43
2010-06-10,239,cekqrirwsjmwqyqopr,3,4,7,60
2005-12-30,240,bexvqfubdbrspcxhu,1,5,16,3
2013-07-21,241,bwgweaferpoetzznv,1,2,72,50
2011-06-11,242,swowbieqywtdqxorndf,1,4,69,37
2010-02-27,243,ogzzngutrkfksdrss,1,4,84,75
2010-07-17,244,uhsyhafhvsqsolcq,1,1,31,9
2014-11-15,245,mlfjhdackojrgunas,2,7,2,36
2017-02-26,246,yngublkdupxzlvodrvc,2,7,30,77
2011-05-30,247,urnuydyjrxhlpymdnxr,1,9,76,8
2017-12-01,248,gnvvbtcplkmikyszjq,3,2,37,16
2009-07-17,249,xukvmhqtyosupunnce,1,4,5,5
2013-08-16,250,endavsnwhumpfzbyntof,1,6,36,76
2012-10-29,251,mkycblhpvioxvcl,3,7,57,46
2003-02-18,252,thzramjyqutareuqlwq,3,1,92,4
2016-11-26,253,camkhvombjxvwtlb,3,8,59,93
2006-07-08,254,wpbtzpjcuwhwukkhqgxc,3,1,90,48
2001-02-26,255,txngshjlbcpzvwvgcd,3,1,67,82
2006-03-09,256,wbevhlvutcotfjx,3,4,47,36
2016-12-12,257,kslngaccahvtflx,2,4,33,73
2014-05-21,258,onclbtmwrjuelziwqe,3,7,62,22
2014-03-10,259,cwfvkxpgbttkjvih,2,4,7,19
2013-09-25,260,gcxxfjotvwyyvxsmz,1,3,5,25
2000-04-10,261,zfvbixyvlntwmzrn,2,3,35,93
2009-12-22,262,nmdhjaqjahfwegszozmf,1,5,87,11
2003-07-06,263,otpijwgicyhdxgx,1,9,56,58
2002-11-05,264,ecdkwuvkfuezjdv,3,2,66,40
2002-10-03,265,uwwvifnhizbuimvjephd,1,6,66,19
2006-07-06,266,emnpwqxnsfwvzlajizk,1,8,38,34
2003-03-05,267,msznfsxyanwypicfd,1,3,34,83
2003-08-16,268,pnouzhgmroahreonheii,3,6,22,66
2017-04-17,269,rlazvmxqwgwhrdhqgh,3,8,78,47
2005-10-31,270,euujwfqvwvexvmfhrna,3,10,71,28
2017-03-31,271,hhglojivmizfzjqktbf,2,5,11,36
2017-05-22,272,vcdijfgrrylssolivl,3,1,36,18
2010-06-27,273,duixmoipgzszazzgtts,1,8,85,84
2015-06-23,274,usjemwqsmolwvbyruvjw,3,6,36,27
2011-07-24,275,szhzlcjddsyeolbxqn,2,8,17,6
2018-05-24,276,lwdsfiusggtuhnpi,1,1,1,32
2011-05-31,277,cilnvikfctpqufwllbe,2,8,91,75
2007-06-12,278,sroqscexpxqzqyjgjbkd,3,10,92,80
2010-04-30,279,evieordhumzxonrp,3,9,5,91
2011-10-19,280,wqjuvxznquflccqj,1,1,32,49
2007-09-08,281,ynfqsqymqnbehnmwxtk,3,10,24,11
2015-04-14,282,wwnfcgjndqvdhloyff,2,4,87,39
2003-06-02,283,tfwsmmulritguyu,1,2,33,6
2018-10-31,284,cixcbrogtbehbqxi,1,3,56,8
2010-07-25,285,grrgcyyxjezncfppb,1,4,56,73
2005-05-18,286,jizrkinyzivdwzaomif,2,7,16,77
2016-12-19,287,skvgwybcfvisbgph,1,7,67,77
2003-03-21,288,xektluynjblgeeektqpe,2,3,21,30
2003-08-26,289,vaeiakyxrowtolbl,2,6,66,38
2012-12-18,290,lqpmnfuwwsgmoqkjm,1,3,83,8
2000-04-27,291,thhhalxtguuysebtv,1,2,55,100
2018-10-11,292,qbfaqqbuknyycif,2,2,19,2
2011-11-27,293,yhdqoytanhssiyc,2,9,15,100
2006-09-07,294,hirrflkmzfmnwfgyokjn,2,6,62,75
2017-03-07,295,anlyxkohhfkxghkg,3,3,16,4
2010-04-13,296,dzufpotpuprnjsqstvk,3,2,19,95
2012-09-08,297,lqvvipbcxfdfklxmcwz,3,1,51,46
2003-09-20,298,gwogxpmnakhhdrvh,2,8,51,87
2015-07-08,299,ubspsnwqxaguduru,3,7,25,94
2003-07-04,300,cqlzoxlykojepiny,2,5,6,53
2003-05-19,301,fpfegrrbxbfoaqt,1,5,88,5
2001-08-24,302,ivxbrptohmcnoho,3,3,81,25
2008-11-12,303,qlcjywqqbajioopumu,1,5,4,15
2013-10-23,304,zdejcpbderawrllmafwg,2,8,8,63
2007-05-22,305,uxhxigzojjfzmraa,3,1,34,57
2005-08-25,306,dlsrsjrdxrutcqlswdx,3,1,82,58
2007-03-15,307,lazzfdauyrwvdofwwfa,3,5,83,25
2012-05-29,308,clumugrfbdaxbye,1,5,24,73
2008-05-26,309,cxdsbgydhvvwtwl,3,5,83,28
2007-02-05,310,qjoexuibvqvmukagxgc,2,4,74,96
2012-04-26,311,mzyskgwwansrtdgyzx,2,8,49,24
2015-09-05,312,drbbficmkkcmrzta,2,8,30,59
2007-01-15,313,weqmmkfqgqajucl,3,6,45,46
2008-06-23,314,ygjbxuiofxzffus,1,1,94,85
2015-12-12,315,jnemyxqngjxdkwvxy,1,4,83,68
2006-08-02,316,pzgtquoysnyaoevqniov,1,5,20,19
2006-05-22,317,edtfhktcrlvyceryo,2,7,40,85
2007-05-09,318,rvlkztvygqqdizrr,1,5,6,40
2015-07-27,319,irlmyzggfhazdgx,1,1,99,68
2004-04-01,320,xqtpfgzaamrbttbk,3,9,92,7
2013-10-22,321,lfqfaquulzazwaa,1,4,86,27
2008-05-03,322,ombpxhnkrkhghspupsd,3,2,15,17
2005-01-12,323,vzjgyalcdkigpodbww,3,1,10,45
2012-10-01,324,dwblxgvzpskhdll,2,7,36,64
2008-03-19,325,qvdwjkkcubgiktcmx,3,4,65,97
2003-12-06,326,irenrvipmuyaydyz,2,6,8,7
2000-12-07,327,zrpqtsywjtydtudj,3,9,19,10
2011-08-15,328,spdatqrbfmqeosjfx,1,10,33,56
2004-11-10,329,bhnizjxeqnifhsuoytw,3,8,5,28
2011-04-09,330,ajgjswkafuvkwou,1,4,13,6
2003-03-18,331,qtcclvywspbcqqaxrxp,3,2,93,9
2007-04-08,332,lneyhukmuehzfbtmav,1,5,92,96
2016-06-25,333,vsikvsmvgbrosvkg,3,10,36,99
2019-04-20,334,mnfdchejveqtihxm,3,8,15,43
2015-12-20,335,tmpnppniewkyynatbq,1,3,11,16
2013-04-12,336,kcsyojagkgdoqmkh,2,7,38,18
2018-09-22,337,geohpckrplncyzif,2,7,77,61
2000-04-30,338,ezzvxzhhatgwwueekn,1,9,65,58
2010-11-23,339,zqzyzihgswxriam,2,3,66,97
2011-05-30,340,xdidjuyqvxxvunpldgg,3,10,94,53
2017-10-19,341,tdlchzjyfiqgeggcbyo,3,2,35,78
2014-12-22,342,yyixnwqmktkuxqxa,3,8,44,9
2005-07-06,343,plxteagerzqhoomwyy,3,2,66,96
2006-08-28,344,fnxotpmtwxmeygvr,2,9,89,80
2002-12-26,345,npgxyrbqlgvepjo,2,7,42,12
2016-05-16,346,yuuqjmbebweuabdzz,3,1,50,4
2010-03-13,347,tfbnpcjbqcotomxa,3,1,35,74
2015-09-20,348,vdczarccdjfwvjetsb,1,10,66,63
2013-06-22,349,bbzodzgjijryhjbrbju,2,9,31,24
2000-01-19,350,xmhesvbfdqqaevpgq,1,7,68,91
2000-07-29,351,gnxfrysksfpzxypwm,3,5,95,97
2005-05-02,352,qasuxgivfshlgumccn,2,9,42,9
2015-08-31,353,birdqzdqrpgylykn,2,7,89,54
2011-07-06,354,bmfxpfwfgqczfcdotu,3,4,14,3
2013-11-13,355,gnwoxbfwjdhjpgeubo,3,1,22,40
2015-05-31,356,pqxlphelvcecbzrxckl,2,6,10,59
2011-02-26,357,ksltitweiojwhmq,3,4,80,73
2006-12-24,358,lsvuidpekaxpmvf,3,3,6,75
2000-11-07,359,jrxkcjgbbrgciia,2,6,10,31
2006-08-03,360,ttqvhaffyimdfqchong,3,5,36,25
2005-10-27,361,fbdgkaudtptryosbru,2,10,48,84
2006-04-16,362,wtvrhcpcmgaixxnaa,2,3,3,53
2008-05-18,363,mvvoogtgylwzvdnv,3,10,55,41
2011-11-18,364,kfwtylxtxffyqfafc,2,9,32,79
2019-08-12,365,jnqgdbotctwibef,3,9,39,25
2003-11-12,366,pwtdqrqjpnlnlshef,2,8,70,49
2016-11-11,367,foevlbcosljxqyl,1,8,8,53
2017-04-19,368,xiqwcpkpgvxqwtklh,2,5,28,90
2005-04-12,369,smihwulomiiwzjyzdg,2,1,79,38
2006-02-03,370,wykvyivarfyfgos,1,2,11,96
2003-02-19,371,nfbqwmbgyrsarntwyd,3,10,60,73
2013-09-20,372,jsqcthsikdrweletyqrl,2,2,100,30
2003-08-16,373,fdtcsmwghqekjqg,2,10,64,68
2003-04-16,374,qojfqlmurdktkouxm,3,10,100,5
2011-06-12,375,ymxdxqbdkcmpljkzl,3,1,81,41
2006-11-15,376,zjomrzklcmgpuaclaor,1,4,63,64
2012-08-14,377,nuykoscbinnosbwzs,2,8,23,73
2017-07-12,378,fvfnbszgzgggltpo,2,5,51,60
2001-05-17,379,cwwwwgskcwdkroovpsa,3,8,60,91
2006-06-03,380,zaekovtlhmvzuogur,3,6,81,69
2015-10-07,381,gkxiwdjvjxxxxdlfmzdx,1,1,94,64
2003-06-17,382,jixnsvnvcroawqhlez,3,2,25,95
2018-07-17,383,lscvpacllakpxlqnsep,1,8,53,30
2016-08-16,384,kchaywtuxjfbnxucj,3,6,100,51
2001-09-21,385,cohipmpqxkouevnlas,2,9,22,42
2016-08-06,386,wtnleeftuiykzrrja,1,8,56,67
2011-08-24,387,cqsnuhkpawbdxrnpa,1,6,67,97
2013-11-15,388,srosmtbsgtnpztsuhm,3,2,56,3
2010-03-09,389,fcnzziermfececkb,3,9,77,17
2000-06-28,390,pcqqvsdnhefnreopo,2,9,28,20
2016-02-17,391,rcidmcaviflnhxlvitkn,3,3,67,54
2018-09-01,392,fmbesdvnfpuqaahzzfa,3,10,63,19
2014-01-23,393,rbdsibljavslkae,2,4,77,42
2019-08-17,394,uprlvaeqqhvznoknq,2,5,50,46
2004-06-24,395,ocesznczocwuhzxxzutm,2,2,28,51
2005-11-05,396,jtcstltfpxqgtdv,1,7,40,49
2007-03-12,397,oahxtatelljurguzr,2,1,52,72
2019-09-01,398,pcllmrecjzatqasjg,2,3,19,76
2015-07-31,399,lmchifeypotgqny,2,7,4,74
2000-10-21,400,udxqiyskdcotegpb,3,2,48,70
2008-03-03,401,wjrdmzgmwyddhewbwhod,2,3,56,88
2016-10-31,402,wlpyfxtcdapzthqnregy,1,1,43,61
2000-12-08,403,irvwjsimritjsfrvaxlv,2,5,11,97
2005-06-09,404,fwuwnnvucyfvcne,3,5,75,79
2014-12-30,405,oxcxdxloarumwqn,1,5,96,76
2004-03-14,406,tlhqsmkpvujqbomcekhh,1,4,92,40
2019-06-08,407,riytshbghcqdvggcuquf,2,6,18,32
2009-04-04,408,fqxzrzqwnkifgwoog,2,5,41,53
2016-06-22,409,eofwlaknbnzhlvbelkw,1,5,24,46
2002-05-06,410,ievcukhycyrmnsoezhbu,1,8,26,20
2011-06-28,411,cbmmvfigglzxoyf,1,10,39,37
2010-09-19,412,alyofigwdtiwtzizech,2,9,98,95
2018-07-05,413,fdskjkxphstprzyd,2,4,61,74
2001-04-13,414,qlvzhuuolvnwjbxrffat,1,4,81,42
2015-05-12,415,bypqtknkqbhxkhe,1,7,84,22
2006-05-07,416,dfmyyiglspiiqpz,3,10,28,57
2008-01-25,417,fbgfmkysivicxuzny,3,2,65,31
2004-03-28,418,koaxruwpnnadunzt,1,4,22,39
2010-05-20,419,gfwtonzoarwclbnbtek,2,4,41,82
2002-04-05,420,ffftygnmucabhgr,2,2,27,86
2015-10-08,421,eukhzsvjwomlcecdygtm,2,10,49,34
2000-05-11,422,camljsrkbcplkojphf,3,9,19,25
2009-05-13,423,eucrbmzjbgzujamm,3,8,93,18
2011-03-21,424,nurukahpgafbiard,1,8,3,9
2000-04-21,425,fjmagvggvhtiinxgy,1,2,58,87
2008-10-28,426,vnlgsfbvdochoedvyxqe,2,2,68,40
2009-06-14,427,bbexegwnbdvntrnggua,1,4,23,74
2017-03-01,428,znoovlnptkotfasury,3,3,86,81
2008-11-17,429,oeiqzseemkarpdxmpr,1,8,21,70
2008-02-04,430,ydixxbqvetqtffnjpkzh,1,5,18,78
2018-07-15,431,cecmyrbjvyzqkfudpe,3,4,100,2
2001-01-13,432,uuifbyfvjjevodpnjigj,1,2,37,18
2019-01-19,433,ultunoxwzfasfpib,2,8,38,83
2004-03-17,434,vhadkaiiwteihnji,1,2,87,47
2019-08-07,435,lxlvhkuzdqsqgwfnggpg,2,7,46,11
2007-01-10,436,yonoxosqmtrhuijyrdea,3,5,18,36
